Season,Name,Team,G,PA,wOBA,wRCplus,BsR,Off,Def,WAR,Age,playerid
1924,Al Simmons,Athletics,152,644,0.357,93,-1.7,-8.2,-2.7,1.2,22,1011978
1872,Al Spalding,Red Stockings,48,240,0.368,129,1.3,16.5,-2.3,1.5,21,1012300
1873,Al Spalding,Red Stockings,60,325,0.339,112,1,9.1,-4.5,1.1,22,1012300
1874,Al Spalding,Red Stockings,71,365,0.326,118,0.1,12.2,-2.3,1.8,23,1012300
1871,Al Spalding,Red Stockings,31,152,0.308,96,0.6,-0.8,-2.3,0.2,20,1012300
1963,Al Stanek,Giants,11,1,0,-100,0,-0.2,0.1,0,19,1012398
1914,Al Tedrow,Naps,4,6,0.233,38,0,-0.4,0.3,0,22,1012902
1872,Al Thake,Atlantics,18,78,0.303,87,0.6,-1.5,-3,-0.1,22,1012944
1939,Al Veigel,Bees,2,1,0,-100,0,-0.3,0.1,0,22,1013394
1929,Al Weston,Braves,3,3,0,-100,0,-0.9,0,-0.1,23,1013810
1948,Al Widmar,Browns,49,11,0.359,98,0,0,0.7,0.1,23,1013921
1937,Al Williams,Athletics,16,28,0.104,-49,0,-6,2,-0.3,23,1013970
1919,Al Wingo,Athletics,15,63,0.363,111,-0.3,0.4,-3.7,-0.1,21,1014131
1977,Al Woods,Blue Jays,122,485,0.32,93,-0.9,-5.1,-9.6,0.2,23,1014234
1933,Al Wright,Braves,4,1,0.934,513,0,0.5,0.1,0.1,20,1014269
1924,Al Yeargin,Braves,32,46,0.179,-4,0.1,-5.9,2.3,-0.2,22,1014333
1922,Al Yeargin,Braves,1,3,0,-100,0,-0.9,0.2,-0.1,20,1014333
1975,Alan Ashby,Indians,90,302,0.3,84,-0.1,-5.5,0.7,0.6,23,1000336
1973,Alan Ashby,Indians,11,31,0.246,46,0,-1.9,-1.5,-0.2,21,1000336
1974,Alan Ashby,Indians,10,8,0.204,21,0,-0.7,0.1,0,22,1000336
1975,Alan Bannister,Phillies,24,63,0.281,66,-0.4,-2.8,-0.1,-0.1,23,1000515
1974,Alan Bannister,Phillies,26,29,0.195,12,0,-2.9,-1,-0.3,22,1000515
1995,Alan Benes,Cardinals,3,6,0,-100,0,-1.7,0.6,-0.1,23,265
1968,Alan Foster,Dodgers,3,5,0.227,55,0,-0.2,0.3,0,21,1004246
1970,Alan Foster,Dodgers,33,78,0.141,-14,0,-11,6.3,-0.2,23,1004246
1969,Alan Foster,Dodgers,24,33,0.131,-18,0,-4.5,2.5,-0.1,22,1004246
1967,Alan Foster,Dodgers,4,4,0,-98,0,-0.9,0.3,-0.1,20,1004246
1982,Alan Fowlkes,Giants,21,29,0.127,-31,0,-4.2,2.4,-0.1,23,1004272
1906,Alan Storke,Pirates,5,13,0.315,99,0.1,0.1,0.1,0.1,21,1012577
1907,Alan Storke,Pirates,112,388,0.301,90,-1.2,-5.3,-0.3,0.8,22,1012577
1908,Alan Storke,Pirates,64,219,0.295,92,-0.5,-2.3,-2.3,0.2,23,1012577
1980,Alan Trammell,Tigers,146,652,0.354,115,-2.4,9.2,9.7,4.3,22,1013157
1979,Alan Trammell,Tigers,142,520,0.315,87,-2.1,-10.6,-2.9,0.4,21,1013157
1981,Alan Trammell,Tigers,105,463,0.313,97,0.9,-0.4,20.6,3.6,23,1013157
1978,Alan Trammell,Tigers,139,504,0.312,90,0.3,-5.3,14.2,2.7,20,1013157
1977,Alan Trammell,Tigers,19,48,0.214,21,0,-4.4,-3.1,-0.6,19,1013157
1981,Alan Wiggins,Padres,15,15,0.353,127,0.4,0.8,-1.1,0,23,1013931
1989,Albert Belle,Indians,62,234,0.297,84,-0.4,-4.8,-1.7,0.1,22,1000802
1990,Albert Belle,Indians,9,25,0.232,38,0,-1.8,-0.7,-0.2,23,1000802
1981,Albert Hall,Braves,6,3,0.235,39,0,-0.2,0,0,23,1005232
2003,Albert Pujols,Cardinals,157,685,0.461,184,5.6,79.8,-5.4,9.5,23,1177
2001,Albert Pujols,Cardinals,161,676,0.423,159,-1.1,50.7,0.9,7.2,21,1177
2002,Albert Pujols,Cardinals,157,675,0.404,150,0.5,42.6,-10.2,5.4,22,1177
2007,Alberto Arias,Rockies,6,2,0,-100,0,-0.6,0.2,0,23,3087
2006,Alberto Callaspo,Diamondbacks,23,47,0.271,52,-0.1,-3,-0.1,-0.1,23,3336
1978,Alberto Lois,Pirates,3,4,0.417,162,0,0.3,0,0,22,1007710
1979,Alberto Lois,Pirates,11,0,0, ,-0.2,-0.2,0,0,23,1007710
1958,Albie Pearson,Senators,146,610,0.325,98,-1.3,-2.5,-17,0,23,1010108
2008,Alcides Escobar,Brewers,9,4,0.448,176,0.3,0.7,0,0.1,21,6310
2009,Alcides Escobar,Brewers,38,134,0.312,87,1.6,-0.5,0.1,0.4,22,6310
2010,Alcides Escobar,Brewers,145,552,0.27,62,4.1,-21.2,8.6,0.5,23,6310
2015,Alec Asher,Phillies,7,6,0.356,126,0,0.2,0.6,0.1,23,13560
2007,Alejandro De Aza,Marlins,45,158,0.251,44,1.9,-9.6,0.2,-0.4,23,3371
2005,Alejandro Machado,Red Sox,10,6,0.326,95,0.1,0.1,0.4,0.1,23,2082
1981,Alejandro Pena,Dodgers,14,6,0,-100,0,-1.4,0.4,-0.1,22,1010140
1982,Alejandro Sanchez,Phillies,7,14,0.461,196,0,1.5,0.8,0.3,23,1011404
2009,Alex Avila,Tigers,29,72,0.408,147,0.1,4.3,0.7,0.7,22,7476
2010,Alex Avila,Tigers,104,333,0.299,81,-3.4,-10.7,0.7,0.1,23,7476
